Date,Sales
2023-01-01,103
2023-01-02,106
2023-01-03,114
2023-01-04,116
2023-01-05,93
2023-01-06,88
2023-01-07,104
2023-01-08,106
2023-01-09,104
2023-01-10,114
2023-01-11,100
2023-01-12,92
2023-01-13,92
2023-01-14,77
2023-01-15,86
2023-01-16,103
2023-01-17,102
2023-01-18,107
2023-01-19,88
2023-01-20,79
2023-01-21,104
2023-01-22,98
2023-01-23,108
2023-01-24,98
2023-01-25,100
2023-01-26,97
2023-01-27,81
2023-01-28,95
2023-01-29,95
2023-01-30,106
2023-01-31,105
2023-02-01,120
2023-02-02,96
2023-02-03,82
2023-02-04,99
2023-02-05,91
2023-02-06,110
2023-02-07,95
2023-02-08,94
2023-02-09,98
2023-02-10,97
2023-02-11,94
2023-02-12,100
2023-02-13,106
2023-02-14,99
2023-02-15,99
2023-02-16,93
2023-02-17,99
2023-02-18,96
2023-02-19,87
2023-02-20,111
2023-02-21,108
2023-02-22,100
2023-02-23,102
2023-02-24,99
2023-02-25,101
2023-02-26,94
2023-02-27,106
2023-02-28,113
2023-03-01,113
2023-03-02,93
2023-03-03,90
2023-03-04,85
2023-03-05,92
2023-03-06,116
2023-03-07,122
2023-03-08,105
2023-03-09,105
2023-03-10,95
2023-03-11,88
2023-03-12,104
2023-03-13,122
2023-03-14,111
2023-03-15,118
2023-03-16,76
2023-03-17,98
2023-03-18,94
2023-03-19,99
2023-03-20,110
2023-03-21,96
2023-03-22,104
2023-03-23,100
2023-03-24,104
2023-03-25,90
2023-03-26,95
2023-03-27,106
2023-03-28,119
2023-03-29,109
2023-03-30,93
2023-03-31,96
2023-04-01,95
2023-04-02,110
2023-04-03,104
2023-04-04,109
2023-04-05,103
2023-04-06,86
2023-04-07,95
2023-04-08,96
2023-04-09,102
2023-04-10,108
2023-04-11,101
2023-04-12,103
2023-04-13,95
2023-04-14,86
2023-04-15,93
2023-04-16,106
2023-04-17,125
2023-04-18,114
2023-04-19,109
2023-04-20,98
2023-04-21,77
2023-04-22,95
2023-04-23,103
2023-04-24,130
2023-04-25,111
2023-04-26,109
2023-04-27,98
2023-04-28,84
2023-04-29,104
2023-04-30,109
2023-05-01,117
2023-05-02,105
2023-05-03,118
2023-05-04,87
2023-05-05,98
2023-05-06,113
2023-05-07,95
2023-05-08,106
2023-05-09,114
2023-05-10,103
2023-05-11,86
2023-05-12,94
2023-05-13,87
2023-05-14,107
2023-05-15,104
2023-05-16,125
2023-05-17,101
2023-05-18,96
2023-05-19,100
2023-05-20,86
2023-05-21,105
2023-05-22,122
2023-05-23,100
2023-05-24,109
2023-05-25,101
2023-05-26,100
2023-05-27,86
2023-05-28,93
2023-05-29,116
2023-05-30,116
2023-05-31,110
2023-06-01,102
2023-06-02,88
2023-06-03,98
2023-06-04,106
2023-06-05,106
2023-06-06,128
2023-06-07,112
2023-06-08,90
2023-06-09,99
2023-06-10,88
2023-06-11,110
2023-06-12,121
2023-06-13,107
2023-06-14,116
2023-06-15,103
2023-06-16,101
2023-06-17,111
2023-06-18,102
2023-06-19,106
2023-06-20,107
2023-06-21,102
2023-06-22,99
2023-06-23,97
2023-06-24,99
2023-06-25,111
2023-06-26,112
2023-06-27,126
2023-06-28,107
2023-06-29,122
2023-06-30,100
2023-07-01,90
2023-07-02,96
2023-07-03,116
2023-07-04,113
2023-07-05,115
2023-07-06,104
2023-07-07,94
2023-07-08,90
2023-07-09,93
2023-07-10,109
2023-07-11,121
2023-07-12,111
2023-07-13,90
2023-07-14,96
2023-07-15,100
2023-07-16,98
2023-07-17,114
2023-07-18,115
2023-07-19,100
2023-07-20,104
2023-07-21,100
2023-07-22,106
2023-07-23,113
2023-07-24,102
2023-07-25,107
2023-07-26,114
2023-07-27,105
2023-07-28,100
2023-07-29,128
2023-07-30,110
2023-07-31,122
2023-08-01,123
2023-08-02,115
2023-08-03,99
2023-08-04,102
2023-08-05,91
2023-08-06,104
2023-08-07,109
2023-08-08,116
2023-08-09,128
2023-08-10,86
2023-08-11,101
2023-08-12,85
2023-08-13,102
2023-08-14,122
2023-08-15,116
2023-08-16,101
2023-08-17,96
2023-08-18,101
2023-08-19,92
2023-08-20,108
2023-08-21,114
2023-08-22,110
2023-08-23,127
2023-08-24,107
2023-08-25,80
2023-08-26,100
2023-08-27,101
2023-08-28,121
2023-08-29,109
2023-08-30,110
2023-08-31,106
2023-09-01,103
2023-09-02,89
2023-09-03,104
2023-09-04,110
2023-09-05,111
2023-09-06,125
2023-09-07,105
2023-09-08,87
2023-09-09,106
2023-09-10,123
2023-09-11,123
2023-09-12,104
2023-09-13,107
2023-09-14,112
2023-09-15,91
2023-09-16,102
2023-09-17,113
2023-09-18,107
2023-09-19,116
2023-09-20,85
2023-09-21,94
2023-09-22,95
2023-09-23,89
2023-09-24,120
2023-09-25,103
2023-09-26,113
2023-09-27,112
2023-09-28,114
2023-09-29,86
2023-09-30,108
2023-10-01,107
2023-10-02,107
2023-10-03,120
2023-10-04,113
2023-10-05,98
2023-10-06,98
2023-10-07,96
2023-10-08,108
2023-10-09,120
2023-10-10,130
2023-10-11,102
2023-10-12,120
2023-10-13,82
2023-10-14,98
2023-10-15,112
2023-10-16,117
2023-10-17,112
2023-10-18,110
2023-10-19,99
2023-10-20,93
2023-10-21,107
2023-10-22,110
2023-10-23,110
2023-10-24,125
2023-10-25,114
2023-10-26,110
2023-10-27,103
2023-10-28,93
2023-10-29,103
2023-10-30,122
2023-10-31,122
2023-11-01,112
2023-11-02,104
2023-11-03,108
2023-11-04,95
2023-11-05,112
2023-11-06,114
2023-11-07,116
2023-11-08,121
2023-11-09,110
2023-11-10,105
2023-11-11,111
2023-11-12,108
2023-11-13,121
2023-11-14,115
2023-11-15,115
2023-11-16,103
2023-11-17,99
2023-11-18,105
2023-11-19,102
2023-11-20,133
2023-11-21,110
2023-11-22,103
2023-11-23,113
2023-11-24,105
2023-11-25,106
2023-11-26,114
2023-11-27,116
2023-11-28,111
2023-11-29,114
2023-11-30,99
2023-12-01,107
2023-12-02,100
2023-12-03,102
2023-12-04,114
2023-12-05,122
2023-12-06,109
2023-12-07,98
2023-12-08,101
2023-12-09,103
2023-12-10,105
2023-12-11,113
2023-12-12,121
2023-12-13,102
2023-12-14,93
2023-12-15,94
2023-12-16,100
2023-12-17,112
2023-12-18,129
2023-12-19,126
2023-12-20,112
